OBJECTID,FloodPlainSource,Watershed,Shape__Area,Shape__Length
4908,Engineered,Highland Creek,665.063232421875,112.134620042981
4909,Engineered,Highland Creek,2333.81127929688,562.479857069539
4910,Engineered,Highland Creek,9567.63354492188,2029.83074442153
4911,Engineered,Highland Creek,10256.9931640625,1017.67898769898
4912,Engineered,Highland Creek,514042.884033203,11078.3553450186
4913,Engineered,Highland Creek,215965.917480469,4046.63047376403
4914,Engineered,Highland Creek,65872.2536621094,1393.90399324803
4915,Engineered,Highland Creek,208626.842529297,3950.70509436839
4916,Engineered,Highland Creek,491588.912353516,15045.7687121544
4917,Engineered,Highland Creek,581.1728515625,153.130532687019
4918,Engineered,Highland Creek,1579.5576171875,391.491969884948
4919,Engineered,Highland Creek,2456.8681640625,730.356185807412
4920,Engineered,Highland Creek,548378.872558594,22422.3542548784
4921,Engineered,Highland Creek,11687.8669433594,1961.36308624737
4922,Engineered,Highland Creek,26268.8259277344,2512.66634299543
4923,Engineered,Highland Creek,5277.39086914062,738.619925487218
4924,Engineered,Highland Creek,4710.3349609375,267.319654070387
4925,Engineered,Highland Creek,310208.599609375,7871.59584584801
4926,Engineered,Highland Creek,23990.2604980469,687.008340147008
4927,Engineered,Highland Creek,105200.771972656,4205.12754549901
4928,Engineered,Highland Creek,86.3701171875,41.6121435909367
4929,Engineered,Highland Creek,1006.24682617188,141.99718612629
4930,Engineered,Highland Creek,3596.73828125,306.929662115369
4931,Engineered,Highland Creek,3160.82202148438,266.941994216107
4932,Engineered,Highland Creek,3624.56127929688,616.664739693229
4933,Engineered,Highland Creek,6999.96948242188,418.891785537766
4934,Engineered,Highland Creek,195858.832519531,8036.23061121284
4935,Engineered,Highland Creek,7367.23120117188,614.177383436961
4936,Engineered,Highland Creek,4372.12744140625,316.025867945107
4937,Engineered,Highland Creek,4573.63354492188,790.941109821155
4938,Engineered,Highland Creek,2693.90698242188,467.086890868944
4939,Engineered,Highland Creek,281.18408203125,69.5164835969709
4940,Engineered,Highland Creek,109.208251953125,48.19677966723
4941,Engineered,Highland Creek,5505.54858398438,483.822196733134
4942,Engineered,Highland Creek,3848.07446289062,588.993742484439
4943,Engineered,Highland Creek,18658.4479980469,1842.64821801468
4944,Engineered,Highland Creek,8742.13330078125,869.991100002841
4945,Engineered,Highland Creek,7903.34936523438,705.377116884349
4946,Engineered,Highland Creek,9321.38525390625,824.903960080007
4947,Engineered,Rouge River,245778.911621094,5250.96983401259
4948,Engineered,Rouge River,558620.284912109,11386.4741842948
4949,Engineered,Rouge River,1272507.42895508,33615.5855530869
4950,Engineered,Rouge River,6909.82861328125,409.449943283647
4951,Engineered,Rouge River,1293258.41479492,35940.7453189236
4952,Engineered,Rouge River,8595.81298828125,671.568708028665
4953,Engineered,Rouge River,1574.83178710938,151.850142610075
4954,Engineered,Rouge River,8767.97583007812,871.292806873575
4955,Engineered,Rouge River,12831.9680175781,1600.12183002556
4956,Engineered,Rouge River,59361.2329101562,2890.77648304992
4957,Engineered,Rouge River,19964.8850097656,1069.13117526195
4958,Engineered,Rouge River,50246.0903320312,2003.37297002102
4959,Engineered,Rouge River,74704.7348632812,4203.70954135624
4960,Engineered,Rouge River,5576.4169921875,391.552536038013
4961,Engineered,Rouge River,10370.6291503906,759.811803330447
4962,Engineered,Rouge River,86929.8447265625,4241.76395326029
4963,Engineered,Rouge River,86669.9145507812,4895.62815669051
4964,Engineered,Rouge River,68171.6689453125,4140.14583611238
4965,Engineered,Rouge River,1715.30078125,779.312838593958
